Timestamp,U3_HNC10AA101XQ01,U3_HNC10AN001XQ01,U3_HNC10CF101,U3_HNC10CG101XQ01,U3_DPU56A105
111,49.72115,303.39236,4.50629,49.09688,4918.20557
112,49.71754,301.41913,4.5088,49.11163,4710.37549
113,49.66253,301.69693,4.53979,49.12639,4695.87402
114,49.66418,302.40778,4.48007,49.14114,4682.33984
115,49.6324,302.23923,4.56883,49.1559,4672.14502
116,49.57796,301.75458,4.53053,49.17065,4661.95068
117,49.56219,302.48886,4.51189,49.18541,4651.75586
118,49.55703,301.47922,4.5054,49.20016,4639.76172
119,49.52152,302.48901,4.52873,49.21492,4627.62061
120,49.4775,301.73056,4.52413,49.22968,4615.479
121,49.40614,303.01752,4.53617,49.24443,4672.58545
122,49.46783,300.85529,4.48052,49.25919,4716.14844
123,49.53807,303.10089,4.55442,49.27394,4693.2251
124,49.63883,303.24561,4.52686,49.2887,4676.28906
125,49.73519,301.16162,4.47145,49.30345,4680.08398
126,49.73608,301.38004,4.47863,49.31821,4683.87891
127,49.76907,301.35843,4.5309,49.33296,4687.67334
128,49.80236,300.8887,4.49406,49.34772,4693.74463
129,49.8199,301.30917,4.52501,49.36247,4715.90039
130,49.84794,302.42285,4.49959,49.37723,4738.05615
131,49.84719,301.2655,4.49528,49.39198,4760.21191
132,49.83109,301.88202,4.53769,49.40674,4723.05957
133,49.84309,301.46494,4.55718,49.42149,4706.10303
134,49.85387,301.14465,4.51781,49.43624,4728.09619
135,49.80907,303.5369,4.53624,49.451,4750.08936
136,49.81079,300.23163,4.50738,49.46575,4684.19775
137,49.89861,301.05298,4.48698,49.48051,4666.23584
138,49.95681,300.84189,4.53583,49.49526,4669.35889
139,50.03831,301.11786,4.50696,49.51001,4672.48193
140,50.15179,301.48813,4.52065,49.52477,4675.60498
141,50.26727,302.96851,4.52844,49.53952,4702.98975
142,50.37095,304.91019,4.6042,49.51703,4752.46582
143,50.49272,305.61865,4.54761,49.51698,4774.39697
144,50.45763,304.74255,4.54831,49.49907,4758.80078
145,50.5512,305.96375,4.55314,49.74774,4752.9624
146,50.60637,307.42917,4.52679,49.80083,4767.55664
147,50.69255,305.94183,4.54596,49.85391,4782.15039
148,50.73978,304.62671,4.55668,49.907,4796.74463
149,50.79363,304.72031,4.52388,49.96008,4798.52539
150,50.91933,307.20932,4.54585,50.04391,4755.6626
151,51.0087,307.84692,4.58268,50.13435,4771.53271
152,51.16275,309.47119,4.59393,50.33863,4840.99121
153,51.27384,308.79382,4.59436,50.54469,4871.25635
154,51.33997,312.2692,4.5915,50.576,4848.01416
155,51.37063,312.9079,4.5666,50.6073,4839.76709
156,51.50064,310.95108,4.56994,50.63861,4852
157,51.49382,312.36896,4.62254,50.682,4864.23291
158,51.5097,311.67957,4.67474,50.72639,4876.46631
159,51.49889,311.34479,4.63428,50.77079,4876.86182
160,51.52856,313.03177,4.62959,50.81518,4870.08203
161,51.48619,313.74817,4.63813,50.85958,4863.30273
162,51.5068,313.83487,4.64157,50.88341,4873.43408
