,U3_HNV10CT104,U3_HNV10CT111,U3_HNV10CT102,U3_HNV10CT103
2017-01-03|14:40:28.000,33.96406,27.07221,29.39675,38.71767
2017-01-03|14:40:38.000,33.95392,27.05864,29.38719,38.71165
2017-01-03|14:40:48.000,33.95186,27.04507,29.37763,38.70232
2017-01-03|14:40:58.000,33.9622,27.0315,29.39845,38.68506
2017-01-03|14:41:08.000,33.97255,27.01793,29.3879,38.6678
2017-01-03|14:41:18.000,33.98289,27.00436,29.40187,38.65735
2017-01-03|14:41:28.000,33.99323,27.01853,29.40603,38.66323
2017-01-03|14:41:38.000,34.00629,27.03598,29.4102,38.66912
2017-01-03|14:41:48.000,34.02352,27.05342,29.41436,38.675
2017-01-03|14:41:58.000,34.04075,27.07087,29.41852,38.68089
2017-01-03|14:42:08.000,34.0547,27.08832,29.42268,38.71712
2017-01-03|14:42:18.000,34.06361,27.10576,29.42684,38.81853
2017-01-03|14:42:28.000,34.07253,27.03883,29.41034,39.017
2017-01-03|14:42:38.000,34.07231,27.01932,29.40227,39.1467
2017-01-03|14:42:48.000,34.06274,27.10387,29.4198,39.1769
2017-01-03|14:42:58.000,34.05316,27.06525,29.41164,39.18583
2017-01-03|14:43:08.000,34.01389,27.05616,29.41664,39.19476
2017-01-03|14:43:18.000,33.98455,27.0038,29.42271,39.23123
2017-01-03|14:43:28.000,33.97683,27.11214,29.41411,39.30249
2017-01-03|14:43:38.000,33.98329,27.00469,29.42645,39.35963
2017-01-03|14:43:48.000,33.98975,27.02862,29.40835,39.38244
2017-01-03|14:43:58.000,33.99622,27.0561,29.41812,39.39239
2017-01-03|14:44:08.000,33.99747,27.05055,29.42686,39.40234
2017-01-03|14:44:18.000,33.99336,27.11103,29.42964,39.432
2017-01-03|14:44:28.000,33.98926,27.05606,29.43565,39.49212
2017-01-03|14:44:38.000,33.98516,27.08039,29.44165,39.49284
2017-01-03|14:44:48.000,33.98105,27.00538,29.44766,39.44861
2017-01-03|14:44:58.000,33.97695,27.06767,29.44107,39.37706
2017-01-03|14:45:08.000,33.97748,27.05664,29.44502,39.35098
2017-01-03|14:45:18.000,33.99737,27.00401,29.45092,39.34173
2017-01-03|14:45:28.000,34.01726,27.11095,29.42744,39.33248
2017-01-03|14:45:38.000,34.05503,27.07557,29.43129,39.30312
2017-01-03|14:45:48.000,34.07491,27.04767,29.45696,39.28855
2017-01-03|14:45:58.000,34.09628,27.11545,29.46478,39.27495
2017-01-03|14:46:08.000,34.12847,27.12207,29.4726,39.26459
2017-01-03|14:46:18.000,34.11523,27.12869,29.46232,39.25423
2017-01-03|14:46:28.000,34.10403,27.13531,29.46957,39.266
2017-01-03|14:46:38.000,34.11634,27.14194,29.4662,39.2897
2017-01-03|14:46:48.000,34.12864,27.14856,29.47854,39.30443
2017-01-03|14:46:58.000,34.14224,27.15518,29.48193,39.30771
2017-01-03|14:47:08.000,34.15376,27.1618,29.48497,39.31099
2017-01-03|14:47:18.000,34.14484,27.16842,29.48801,39.31427
2017-01-03|14:47:28.000,34.13593,27.17504,29.49105,39.31754
2017-01-03|14:47:38.000,34.13011,27.18166,29.49409,39.32082
2017-01-03|14:47:48.000,34.13729,27.18828,29.49712,39.3241
2017-01-03|14:47:58.000,34.14448,27.19491,29.50016,39.32738
2017-01-03|14:48:08.000,34.15166,27.20153,29.5032,39.35727
2017-01-03|14:48:18.000,34.18356,27.20815,29.48297,39.38881
2017-01-03|14:48:28.000,34.19971,27.21477,29.4933,39.48306
2017-01-03|14:48:38.000,34.21043,27.22139,29.50363,39.55792
2017-01-03|14:48:48.000,34.21741,27.17625,29.48812,39.538
2017-01-03|14:48:58.000,34.2244,27.16266,29.49217,39.49303
2017-01-03|14:49:08.000,34.23138,27.1926,29.50453,39.46356
2017-01-03|14:49:18.000,34.25521,27.11502,29.5038,39.45134
2017-01-03|14:49:28.000,34.27013,27.21198,29.50307,39.44271
2017-01-03|14:49:38.000,34.28374,27.17001,29.50234,39.43408
2017-01-03|14:49:48.000,34.29729,27.15246,29.50161,39.42252
2017-01-03|14:49:58.000,34.24639,27.13202,29.50088,39.41019
2017-01-03|14:50:08.000,34.20662,27.17231,29.50015,39.39585
2017-01-03|14:50:18.000,34.18493,27.18312,29.49943,39.38064
2017-01-03|14:50:28.000,34.16907,27.18537,29.4987,39.38853
2017-01-03|14:50:38.000,34.15471,27.16857,29.49797,39.39662
2017-01-03|14:50:48.000,34.12293,27.16666,29.49724,39.4047
2017-01-03|14:50:58.000,34.10306,27.16365,29.49651,39.43061
2017-01-03|14:51:08.000,34.05792,27.18039,29.49578,39.42485
2017-01-03|14:51:18.000,34.05877,27.15367,29.49505,39.4191
2017-01-03|14:51:28.000,34.06834,27.15929,29.49432,39.41334
2017-01-03|14:51:38.000,34.07967,27.20173,29.49359,39.40759
2017-01-03|14:51:48.000,34.11938,27.18298,29.49286,39.38754
2017-01-03|14:51:58.000,34.18438,27.1248,29.49213,39.38938
2017-01-03|14:52:08.000,34.21688,27.20191,29.4914,39.39933
2017-01-03|14:52:18.000,34.22913,27.30281,29.49067,39.42147
2017-01-03|14:52:28.000,34.21879,27.24848,29.48994,39.45091
2017-01-03|14:52:38.000,34.20846,27.30082,29.48921,39.5092
2017-01-03|14:52:48.000,34.2123,27.2936,29.48848,39.46991
2017-01-03|14:52:58.000,34.19267,27.32942,29.48775,39.30436
2017-01-03|14:53:08.000,34.17104,27.27938,29.48702,39.17431
2017-01-03|14:53:18.000,34.15832,27.25611,29.48629,39.04509
2017-01-03|14:53:28.000,34.16593,27.33126,29.48556,38.97333
2017-01-03|14:53:38.000,34.17353,27.29938,29.48483,38.935
2017-01-03|14:53:48.000,34.18306,27.26416,29.4841,38.91652
2017-01-03|14:53:58.000,34.21041,27.3165,29.48338,38.90236
2017-01-03|14:54:08.000,34.23194,27.25278,29.48265,38.88874
2017-01-03|14:54:18.000,34.21866,27.31816,29.48192,38.86888
2017-01-03|14:54:28.000,34.205,27.2682,29.48119,38.88656
2017-01-03|14:54:38.000,34.19064,27.23521,29.48046,38.92155
2017-01-03|14:54:48.000,34.17669,27.28705,29.47973,38.9116
2017-01-03|14:54:58.000,34.16376,27.3039,29.479,38.89637
2017-01-03|14:55:08.000,34.1452,27.24057,29.49354,38.87803
2017-01-03|14:55:18.000,34.13477,27.28662,29.49299,38.85971
2017-01-03|14:55:28.000,34.14708,27.23615,29.48264,38.84935
2017-01-03|14:55:38.000,34.16376,27.22628,29.49024,38.83899
2017-01-03|14:55:48.000,34.17362,27.24152,29.49783,38.81637
2017-01-03|14:55:58.000,34.14967,27.33002,29.50328,38.79633
2017-01-03|14:56:08.000,34.1301,27.23929,29.48714,38.79283
2017-01-03|14:56:18.000,34.13728,27.19647,29.49754,38.81387
2017-01-03|14:56:28.000,34.14446,27.16961,29.4791,38.85185
2017-01-03|14:56:38.000,34.15164,27.16509,29.50009,38.90545
