,U3_HNV10CT104,U3_HNV10CT111,U3_HNV10CT102,U3_HNV10CT103
2017-01-03|19:44:02.000,31.03167,25.72956,28.91553,37.62279
2017-01-03|19:44:12.000,31.03996,25.73563,28.91302,37.64434
2017-01-03|19:44:22.000,31.06413,25.7417,28.92016,37.66769
2017-01-03|19:44:32.000,31.08399,25.74777,28.91431,37.68263
2017-01-03|19:44:42.000,31.10386,25.75385,28.92128,37.69557
2017-01-03|19:44:52.000,31.07563,25.75992,28.93251,37.74001
2017-01-03|19:45:02.000,31.06883,25.76599,28.91431,37.85402
2017-01-03|19:45:12.000,31.06204,25.77206,28.92545,37.85654
2017-01-03|19:45:22.000,31.05525,25.77813,28.93669,37.82722
2017-01-03|19:45:32.000,31.05938,25.78421,28.92151,37.81285
2017-01-03|19:45:42.000,31.08661,25.79028,28.92445,37.7983
2017-01-03|19:45:52.000,31.12196,25.69506,28.91311,37.78308
2017-01-03|19:46:02.000,31.15559,25.78143,28.93154,37.77122
2017-01-03|19:46:12.000,31.14039,25.76741,28.91265,37.7626
2017-01-03|19:46:22.000,31.11964,25.74499,28.92025,37.75397
2017-01-03|19:46:32.000,31.09736,25.69004,28.92784,37.70567
2017-01-03|19:46:42.000,31.08122,25.745,28.93543,37.65692
2017-01-03|19:46:52.000,31.09286,25.68421,28.91813,37.60715
2017-01-03|19:47:02.000,31.10499,25.70919,28.93534,37.60919
2017-01-03|19:47:12.000,31.09937,25.73417,28.9111,37.63354
2017-01-03|19:47:22.000,31.09376,25.75915,28.91519,37.66751
2017-01-03|19:47:32.000,31.08814,25.78413,28.91929,37.68284
2017-01-03|19:47:42.000,31.08253,25.75435,28.92339,37.6946
2017-01-03|19:47:52.000,31.08803,25.6897,28.92748,37.69353
2017-01-03|19:48:02.000,31.10417,25.72398,28.93158,37.67916
2017-01-03|19:48:12.000,31.11522,25.76794,28.93568,37.6589
2017-01-03|19:48:22.000,31.12576,25.68629,28.92795,37.63303
2017-01-03|19:48:32.000,31.1363,25.78516,28.91862,37.62376
2017-01-03|19:48:42.000,31.14685,25.70665,28.93413,37.63039
2017-01-03|19:48:52.000,31.15746,25.79256,28.91549,37.63702
2017-01-03|19:49:02.000,31.17467,25.69261,28.92036,37.64365
2017-01-03|19:49:12.000,31.15796,25.77112,28.92523,37.67251
2017-01-03|19:49:22.000,31.18078,25.72878,28.9301,37.73816
2017-01-03|19:49:32.000,31.17698,25.77744,28.93497,37.844
2017-01-03|19:49:42.000,31.17319,25.70858,28.92569,37.92734
2017-01-03|19:49:52.000,31.16939,25.69626,28.9107,37.895
2017-01-03|19:50:02.000,31.16559,25.76357,28.90955,37.86595
2017-01-03|19:50:12.000,31.1618,25.70367,28.90841,37.82454
2017-01-03|19:50:22.000,31.158,25.74444,28.90727,37.79745
2017-01-03|19:50:32.000,31.1689,25.69382,28.90613,37.76237
2017-01-03|19:50:42.000,31.18051,25.76088,28.90498,37.72721
2017-01-03|19:50:52.000,31.18937,25.77736,28.90384,37.6716
2017-01-03|19:51:02.000,31.20167,25.76197,28.9027,37.62151
2017-01-03|19:51:12.000,31.22658,25.68514,28.90156,37.63186
2017-01-03|19:51:22.000,31.24042,25.78287,28.90041,37.6422
2017-01-03|19:51:32.000,31.2474,25.68752,28.89927,37.68298
2017-01-03|19:51:42.000,31.25438,25.79267,28.89813,37.72097
2017-01-03|19:51:52.000,31.2591,25.70116,28.89699,37.75859
2017-01-03|19:52:02.000,31.24551,25.76169,28.89584,37.78649
2017-01-03|19:52:12.000,31.24153,25.68745,28.8947,37.84095
2017-01-03|19:52:22.000,31.25076,25.72233,28.89356,37.78261
2017-01-03|19:52:32.000,31.26693,25.71941,28.89242,37.56615
2017-01-03|19:52:42.000,31.27475,25.68567,28.89127,37.37331
2017-01-03|19:52:52.000,31.28257,25.76385,28.89013,37.27454
2017-01-03|19:53:02.000,31.30834,25.69057,28.88899,37.20143
2017-01-03|19:53:12.000,31.29658,25.75827,28.88785,37.18265
2017-01-03|19:53:22.000,31.29081,25.7143,28.88671,37.20256
2017-01-03|19:53:32.000,31.30158,25.79449,28.88556,37.22962
2017-01-03|19:53:42.000,31.31231,25.8003,28.89227,37.25362
2017-01-03|19:53:52.000,31.31991,25.80612,28.89109,37.31045
2017-01-03|19:54:02.000,31.32751,25.81193,28.89644,37.35824
2017-01-03|19:54:12.000,31.33511,25.81775,28.90025,37.38298
2017-01-03|19:54:22.000,31.35237,25.82356,28.90614,37.43401
2017-01-03|19:54:32.000,31.36681,25.82938,28.89807,37.59682
2017-01-03|19:54:42.000,31.37255,25.8352,28.89,37.82855
2017-01-03|19:54:52.000,31.37829,25.84101,28.8951,37.91585
2017-01-03|19:55:02.000,31.38403,25.84683,28.89003,37.89828
2017-01-03|19:55:12.000,31.38981,25.85264,28.90177,37.86858
2017-01-03|19:55:22.000,31.39975,25.85846,28.90959,37.83211
2017-01-03|19:55:32.000,31.40969,25.86427,28.90262,37.8127
2017-01-03|19:55:42.000,31.42516,25.87009,28.89564,37.79894
2017-01-03|19:55:52.000,31.43143,25.8759,28.88866,37.79059
2017-01-03|19:56:02.000,31.44637,25.88172,28.91262,37.78224
2017-01-03|19:56:12.000,31.46251,25.88754,28.91648,37.77848
2017-01-03|19:56:22.000,31.49978,25.89335,28.92033,37.7921
2017-01-03|19:56:32.000,31.52415,25.89917,28.92418,37.80817
2017-01-03|19:56:42.000,31.53706,25.8465,28.92804,37.83051
2017-01-03|19:56:52.000,31.54079,25.88259,28.93189,37.86676
2017-01-03|19:57:02.000,31.53123,25.81389,28.93574,37.91718
2017-01-03|19:57:12.000,31.52167,25.81293,28.93348,37.97165
2017-01-03|19:57:22.000,31.54486,25.90349,28.9339,38.1002
2017-01-03|19:57:32.000,31.56473,25.86914,28.93348,38.11759
2017-01-03|19:57:42.000,31.56422,25.83479,28.93245,38.073
2017-01-03|19:57:52.000,31.55532,25.80044,28.9181,38.03413
2017-01-03|19:58:02.000,31.54641,25.99684,28.93291,37.99083
2017-01-03|19:58:12.000,31.55698,25.90279,28.9432,37.93567
2017-01-03|19:58:22.000,31.57208,25.91256,28.95017,37.91177
2017-01-03|19:58:32.000,31.58644,25.92135,28.95714,37.92739
2017-01-03|19:58:42.000,31.57437,26.00589,28.95984,37.91877
2017-01-03|19:58:52.000,31.59282,25.93053,28.94626,37.91014
2017-01-03|19:59:02.000,31.61127,25.95444,28.95909,37.9109
2017-01-03|19:59:12.000,31.63536,26.00945,28.94189,37.92527
2017-01-03|19:59:22.000,31.65116,25.92744,28.96253,37.92741
2017-01-03|19:59:32.000,31.65633,25.9302,28.94533,37.92167
2017-01-03|19:59:42.000,31.6615,25.92659,28.96233,37.91592
2017-01-03|19:59:52.000,31.66666,25.99086,28.95439,37.91017
2017-01-03|20:00:02.000,31.67183,25.92131,28.95515,37.90305
2017-01-03|20:00:12.000,31.69986,26.00586,28.93783,37.88457
2017-01-03|20:00:22.000,31.72137,25.91395,28.9609,37.88363
2017-01-03|20:00:32.000,31.71161,25.96795,28.95871,37.90485
2017-01-03|20:00:42.000,31.71556,25.90644,28.95652,37.87927
2017-01-03|20:00:52.000,31.72952,25.9799,28.95434,37.89449
2017-01-03|20:01:02.000,31.73449,25.95201,28.95215,37.90971
2017-01-03|20:01:12.000,31.73946,25.92733,28.94997,37.92493
2017-01-03|20:01:22.000,31.74443,25.91834,28.94778,38.00949
2017-01-03|20:01:32.000,31.7494,25.96608,28.94559,38.10727
2017-01-03|20:01:42.000,31.71956,25.91157,28.94341,38.11161
2017-01-03|20:01:52.000,31.70783,25.9976,28.94122,38.05986
2017-01-03|20:02:02.000,31.69676,25.97987,28.93904,38.00259
2017-01-03|20:02:12.000,31.68719,25.96214,28.93716,37.99472
2017-01-03|20:02:22.000,31.67762,25.94442,28.95065,37.96311
2017-01-03|20:02:32.000,31.65146,25.92669,28.94967,37.94418
2017-01-03|20:02:42.000,31.60544,25.90897,28.93831,37.92633
2017-01-03|20:02:52.000,31.58148,25.99619,28.95189,37.90849
2017-01-03|20:03:02.000,31.5574,25.91166,28.94933,37.866
2017-01-03|20:03:12.000,31.54915,25.95035,28.96141,37.81945
2017-01-03|20:03:22.000,31.57044,25.9444,28.94968,37.79431
2017-01-03|20:03:32.000,31.55609,25.92945,28.93796,37.768
2017-01-03|20:03:42.000,31.54955,25.91091,28.94528,37.76848
2017-01-03|20:03:52.000,31.56881,25.99898,28.94169,37.79926
2017-01-03|20:04:02.000,31.55267,26.01133,28.95461,37.79186
2017-01-03|20:04:12.000,31.52053,26.00081,28.95577,37.78446
2017-01-03|20:04:22.000,31.51942,25.91408,28.95642,37.77707
2017-01-03|20:04:32.000,31.5561,25.96403,28.94597,37.7516
2017-01-03|20:04:42.000,31.56968,26.01027,28.95887,37.75525
2017-01-03|20:04:52.000,31.5616,25.98179,28.94133,37.75889
2017-01-03|20:05:02.000,31.55353,25.90545,28.9487,37.76254
2017-01-03|20:05:12.000,31.54545,25.95817,28.95607,37.76618
2017-01-03|20:05:22.000,31.51841,25.9554,28.96136,37.76982
2017-01-03|20:05:32.000,31.51395,25.98675,28.94907,37.77347
2017-01-03|20:05:42.000,31.5095,25.95826,28.93738,37.80838
2017-01-03|20:05:52.000,31.50504,25.92779,28.9399,37.87124
2017-01-03|20:06:02.000,31.50059,26.00629,28.94233,37.81369
2017-01-03|20:06:12.000,31.49614,25.95766,28.93424,37.65053
2017-01-03|20:06:22.000,31.5189,25.98995,28.95455,37.53589
2017-01-03|20:06:32.000,31.52254,25.97913,28.93092,37.46461
2017-01-03|20:06:42.000,31.52617,25.85561,28.92355,37.38428
2017-01-03|20:06:52.000,31.52981,25.96428,28.91617,37.38118
2017-01-03|20:07:02.000,31.53344,25.9931,28.9152,37.37705
2017-01-03|20:07:12.000,31.53708,25.95239,28.92879,37.36411
2017-01-03|20:07:22.000,31.54072,25.91169,28.93526,37.33555
2017-01-03|20:07:32.000,31.54435,25.81985,28.93128,37.30146
2017-01-03|20:07:42.000,31.55054,25.86181,28.92731,37.26061
2017-01-03|20:07:52.000,31.557,25.82857,28.92334,37.22345
2017-01-03|20:08:02.000,31.56346,25.89726,28.91937,37.19137
2017-01-03|20:08:12.000,31.56992,25.97484,28.9154,37.14413
2017-01-03|20:08:22.000,31.58223,25.88293,28.91143,37.14971
2017-01-03|20:08:32.000,31.59514,25.86332,28.88321,37.20658
2017-01-03|20:08:42.000,31.59381,25.83838,28.88034,37.27415
2017-01-03|20:08:52.000,31.58874,25.85161,28.87748,37.35751
2017-01-03|20:09:02.000,31.58368,25.90285,28.87461,37.30306
2017-01-03|20:09:12.000,31.57861,25.85745,28.87175,37.26574
2017-01-03|20:09:22.000,31.57355,25.87983,28.86888,37.26604
2017-01-03|20:09:32.000,31.58361,25.80132,28.86602,37.27728
2017-01-03|20:09:42.000,31.58855,25.88143,28.86315,37.29707
2017-01-03|20:09:52.000,31.57564,25.80816,28.86028,37.32942
2017-01-03|20:10:02.000,31.57592,25.88158,28.87574,37.39651
2017-01-03|20:10:12.000,31.58483,25.83761,28.87067,37.3717
2017-01-03|20:10:22.000,31.59373,25.79557,28.87294,37.36039
2017-01-03|20:10:32.000,31.60172,25.86505,28.85954,37.23183
2017-01-03|20:10:42.000,31.60932,25.81009,28.88103,37.21775
2017-01-03|20:10:52.000,31.61692,25.82257,28.87176,37.24305
2017-01-03|20:11:02.000,31.63793,25.84846,28.88277,37.35336
2017-01-03|20:11:12.000,31.66949,25.87508,28.85495,37.44824
2017-01-03|20:11:22.000,31.65514,25.86112,28.84605,37.50594
2017-01-03|20:11:32.000,31.6426,25.86873,28.83714,37.55145
2017-01-03|20:11:42.000,31.63184,25.84424,28.84497,37.57919
2017-01-03|20:11:52.000,31.61547,25.81489,28.85888,37.56842
2017-01-03|20:12:02.000,31.585,25.93009,28.83521,37.52182
2017-01-03|20:12:12.000,31.57438,25.90355,28.85039,37.41282
2017-01-03|20:12:22.000,31.59935,25.85121,28.83519,37.34036
2017-01-03|20:12:32.000,31.60673,25.79887,28.84035,37.35557
2017-01-03|20:12:42.000,31.61411,25.90322,28.84552,37.38799
2017-01-03|20:12:52.000,31.62149,25.81877,28.85068,37.46959
2017-01-03|20:13:02.000,31.61053,25.88858,28.85584,37.51737
2017-01-03|20:13:12.000,31.59761,25.83862,28.83544,37.59065
2017-01-03|20:13:22.000,31.58832,25.80654,28.84434,37.54771
2017-01-03|20:13:32.000,31.57941,25.88341,28.85324,37.47132
2017-01-03|20:13:36.000,31.57584,25.84344,28.8568,37.4389
2017-01-03|20:13:46.000,31.57066,25.88613,28.8404,37.35712
2017-01-03|20:13:56.000,31.60511,25.79443,28.85162,37.31401
2017-01-03|20:14:06.000,31.62871,25.84981,28.8338,37.36697
2017-01-03|20:14:16.000,31.64161,25.84153,28.83467,37.43092
2017-01-03|20:14:26.000,31.64526,25.99854,28.83554,37.51063
2017-01-03|20:14:36.000,31.63976,25.86756,28.83641,37.57613
2017-01-03|20:14:46.000,31.63427,25.87677,28.83729,37.62047
2017-01-03|20:14:56.000,31.62878,25.81418,28.83816,37.64641
2017-01-03|20:15:06.000,31.62328,25.8924,28.83903,37.72477
2017-01-03|20:15:16.000,31.59914,25.81279,28.8399,37.77832
2017-01-03|20:15:26.000,31.6057,25.86773,28.84077,37.69772
2017-01-03|20:15:36.000,31.61603,25.84702,28.84164,37.58898
2017-01-03|20:15:46.000,31.62636,25.92267,28.84252,37.51135
2017-01-03|20:15:56.000,31.63669,25.83107,28.84339,37.4455
2017-01-03|20:16:06.000,31.64702,25.95901,28.84426,37.39476
2017-01-03|20:16:16.000,31.65913,25.97676,28.84513,37.34858
2017-01-03|20:16:26.000,31.67143,25.97814,28.846,37.34503
2017-01-03|20:16:36.000,31.70147,25.90424,28.84687,37.36693
2017-01-03|20:16:46.000,31.71868,25.90441,28.84775,37.42904
2017-01-03|20:16:56.000,31.72931,25.99233,28.84862,37.49631
2017-01-03|20:17:06.000,31.73561,25.93735,28.84949,37.55579
2017-01-03|20:17:16.000,31.74191,25.94712,28.85036,37.61017
2017-01-03|20:17:26.000,31.74822,25.98298,28.85124,37.63925
2017-01-03|20:17:36.000,31.74297,25.92192,28.85211,37.67478
2017-01-03|20:17:46.000,31.76507,25.90395,28.85298,37.71572
2017-01-03|20:17:56.000,31.77864,25.96859,28.85386,37.95747
2017-01-03|20:18:06.000,31.78582,25.90396,28.85473,38.13818
2017-01-03|20:18:16.000,31.793,25.97723,28.8556,38.17783
2017-01-03|20:18:26.000,31.80017,25.95907,28.85647,38.1866
2017-01-03|20:18:36.000,31.81081,26.01313,28.85735,38.17888
2017-01-03|20:18:46.000,31.82371,25.98554,28.85822,38.17115
2017-01-03|20:18:56.000,31.83421,25.99657,28.85909,38.16343
2017-01-03|20:19:06.000,31.84312,25.91203,28.85545,38.1557
2017-01-03|20:19:16.000,31.85203,25.9746,28.84883,38.14798
2017-01-03|20:19:26.000,31.86423,25.9635,28.84221,38.14026
2017-01-03|20:19:36.000,31.87783,26.01338,28.83559,38.138
2017-01-03|20:19:46.000,31.90637,25.9593,28.85285,38.15958
2017-01-03|20:19:56.000,31.91098,25.95892,28.86065,38.18271
2017-01-03|20:20:06.000,31.91559,26.00564,28.86665,38.23652
2017-01-03|20:20:16.000,31.9202,25.98566,28.87265,38.35382
2017-01-03|20:20:26.000,31.92481,25.96568,28.87865,38.3587
2017-01-03|20:20:36.000,31.92942,25.9457,28.88465,38.34209
2017-01-03|20:20:46.000,31.94701,25.92571,28.88697,38.30868
2017-01-03|20:20:56.000,31.96114,25.90573,28.8889,38.2673
2017-01-03|20:21:06.000,31.9656,25.98218,28.89082,38.21551
2017-01-03|20:21:16.000,31.97005,25.92985,28.89275,38.1534
2017-01-03|20:21:26.000,31.97451,25.96462,28.89468,38.13069
2017-01-03|20:21:36.000,31.97897,25.98253,28.8966,38.12034
2017-01-03|20:21:46.000,31.98342,25.9596,28.89853,38.10628
2017-01-03|20:21:56.000,31.9768,25.93081,28.90046,38.0797
2017-01-03|20:22:06.000,31.96897,25.94806,28.90238,38.06271
2017-01-03|20:22:16.000,31.96114,26.01335,28.90431,38.08625
2017-01-03|20:22:26.000,31.94831,25.94743,28.90623,38.11732
2017-01-03|20:22:36.000,31.93213,25.90416,28.90816,38.1602
2017-01-03|20:22:46.000,31.90809,26.0684,28.91009,38.23308
2017-01-03|20:22:56.000,31.91383,26.09576,28.90489,38.26727
2017-01-03|20:23:06.000,31.91956,26.01412,28.8926,38.13775
2017-01-03|20:23:16.000,31.9253,26.02725,28.90906,37.96958
2017-01-03|20:23:26.000,31.93104,26.11273,28.90244,37.84019
2017-01-03|20:23:36.000,31.9645,26.01408,28.89582,37.74104
2017-01-03|20:23:46.000,31.9849,26.08716,28.8892,37.6807
2017-01-03|20:23:56.000,31.99523,26.10183,28.90594,37.67773
2017-01-03|20:24:06.000,32.00555,26.09372,28.89068,37.68472
2017-01-03|20:24:16.000,32.0347,26.11127,28.90427,37.69172
2017-01-03|20:24:26.000,32.02662,26.05784,28.90237,37.69147
2017-01-03|20:24:36.000,32.01855,26.05061,28.89387,37.66694
2017-01-03|20:24:46.000,32.01048,26.01382,28.90956,37.65954
2017-01-03|20:24:56.000,32.03794,26.01387,28.90708,37.65215
2017-01-03|20:25:06.000,32.04602,26.08709,28.90459,37.62894
2017-01-03|20:25:16.000,32.05409,26.0559,28.90211,37.60373
2017-01-03|20:25:26.000,32.05999,26.12349,28.89963,37.57598
2017-01-03|20:25:36.000,32.04639,26.12349,28.89715,37.57367
2017-01-03|20:25:46.000,32.03279,26.06836,28.89466,37.57998
2017-01-03|20:25:56.000,32.01919,25.97409,28.89218,37.58629
2017-01-03|20:26:06.000,31.9986,25.93013,28.8897,37.5926
2017-01-03|20:26:16.000,31.96834,25.95865,28.88722,37.63593
2017-01-03|20:26:26.000,31.94768,25.97697,28.88561,37.74983
2017-01-03|20:26:36.000,31.93088,25.96975,28.88751,37.98275
2017-01-03|20:26:46.000,31.91797,25.90378,28.88941,38.11209
2017-01-03|20:26:56.000,31.90484,25.95612,28.89131,38.17679
2017-01-03|20:27:06.000,31.88964,26.00846,28.8932,38.2119
2017-01-03|20:27:16.000,31.87444,25.95185,28.8951,38.19957
2017-01-03|20:27:26.000,31.85924,25.95874,28.897,38.17936
2017-01-03|20:27:36.000,31.86,26.00564,28.8989,38.14573
2017-01-03|20:27:46.000,31.8676,25.97883,28.9008,38.12286
2017-01-03|20:27:56.000,31.8752,25.95202,28.9027,38.09137
2017-01-03|20:28:06.000,31.87729,25.92522,28.90459,38.13148
2017-01-03|20:28:16.000,31.86653,26.01357,28.90649,38.15521
2017-01-03|20:28:26.000,31.85576,26.07472,28.90839,38.16383
2017-01-03|20:28:36.000,31.84901,25.98927,28.91029,38.11679
2017-01-03|20:28:46.000,31.84271,25.92821,28.89557,38.0999
2017-01-03|20:28:56.000,31.83641,26.00482,28.89167,38.08582
2017-01-03|20:29:06.000,31.83011,25.98709,28.89809,38.08195
2017-01-03|20:29:16.000,31.8518,25.96937,28.88994,38.07809
2017-01-03|20:29:26.000,31.85933,25.95164,28.90244,38.07423
2017-01-03|20:29:36.000,31.8645,25.93392,28.89259,38.07036
2017-01-03|20:29:46.000,31.86967,25.91619,28.90184,38.0665
2017-01-03|20:29:56.000,31.87483,26.01705,28.89165,38.06264
2017-01-03|20:30:06.000,31.88,26.03396,28.91336,38.03964
2017-01-03|20:30:16.000,31.90714,26.05087,28.91667,38.04148
2017-01-03|20:30:26.000,31.91496,26.06778,28.91998,38.04933
2017-01-03|20:30:36.000,31.92278,26.08469,28.92329,38.05717
2017-01-03|20:30:46.000,31.93061,26.1016,28.9266,38.08248
2017-01-03|20:30:56.000,31.96661,26.11851,28.92991,38.11205
2017-01-03|20:31:06.000,31.98814,26.07953,28.93322,38.26725
2017-01-03|20:31:16.000,32.00965,26.01386,28.93653,38.3692
2017-01-03|20:31:26.000,32.05163,26.02577,28.93261,38.35194
2017-01-03|20:31:36.000,32.07641,26.09626,28.93681,38.31918
2017-01-03|20:31:46.000,32.0786,26.05022,28.93378,38.26418
2017-01-03|20:31:56.000,32.06137,26.07988,28.92345,38.22602
2017-01-03|20:32:06.000,32.03555,26.07276,28.91313,38.23151
2017-01-03|20:32:16.000,32.01205,26.08988,28.93081,38.22304
2017-01-03|20:32:26.000,32.01823,26.03538,28.91562,38.20472
2017-01-03|20:32:36.000,32.04657,26.04984,28.92583,38.19109
2017-01-03|20:32:46.000,32.06563,26.12283,28.93668,38.15096
2017-01-03|20:32:56.000,32.08717,26.09631,28.92814,38.11987
2017-01-03|20:33:06.000,32.07598,26.11103,28.91109,38.08933
2017-01-03|20:33:16.000,32.06474,26.05087,28.92401,38.09717
2017-01-03|20:33:26.000,32.07038,26.03298,28.9265,38.10501
2017-01-03|20:33:36.000,32.0833,26.09763,28.91269,38.11058
2017-01-03|20:33:46.000,32.10359,26.08249,28.91818,38.09536
2017-01-03|20:33:56.000,32.08388,26.01379,28.92367,38.07683
2017-01-03|20:34:06.000,32.07554,26.15084,28.92917,38.04101
2017-01-03|20:34:16.000,32.06721,26.18974,28.93466,38.01893
2017-01-03|20:34:26.000,32.06081,26.19654,28.9152,37.99996
2017-01-03|20:34:36.000,32.05898,26.14579,28.92353,37.97755
2017-01-03|20:34:46.000,32.05715,26.16714,28.93185,37.96
2017-01-03|20:34:56.000,32.05532,26.01437,28.93275,37.97617
2017-01-03|20:35:06.000,32.05348,26.05105,28.92243,38.01171
2017-01-03|20:35:16.000,32.05165,26.14778,28.9121,38.06014
2017-01-03|20:35:26.000,32.04982,26.08773,28.91114,38.15844
2017-01-03|20:35:36.000,32.04799,26.06046,28.92399,38.2704
2017-01-03|20:35:46.000,32.04615,26.12239,28.91947,38.33869
2017-01-03|20:35:56.000,32.04432,26.17976,28.91814,38.29906
2017-01-03|20:36:06.000,32.04248,26.05815,28.93138,38.27032
2017-01-03|20:36:16.000,32.04065,26.0141,28.91294,38.22443
2017-01-03|20:36:26.000,32.03882,26.23314,28.91634,38.1855
2017-01-03|20:36:36.000,32.03699,26.07849,28.91996,38.15311
2017-01-03|20:36:46.000,32.06103,26.01384,28.92989,38.13368
2017-01-03|20:36:56.000,32.05439,26.092,28.91955,38.1193
2017-01-03|20:37:06.000,32.04741,26.05454,28.92585,38.12817
2017-01-03|20:37:16.000,32.04042,26.11595,28.93653,38.09494
2017-01-03|20:37:26.000,32.03739,26.03744,28.91196,38.03461
2017-01-03|20:37:36.000,32.04369,26.05876,28.91657,38.04962
2017-01-03|20:37:46.000,32.04999,26.12341,28.92118,38.06994
2017-01-03|20:37:56.000,32.05629,26.12298,28.92579,38.0829
2017-01-03|20:38:06.000,32.06005,26.03225,28.9304,38.07627
2017-01-03|20:38:16.000,32.05342,26.04195,28.93501,38.06963
2017-01-03|20:38:26.000,32.04679,26.04356,28.92639,38.06299
2017-01-03|20:38:36.000,32.04017,26.07687,28.91916,38.03286
2017-01-03|20:38:46.000,32.03296,26.11017,28.93275,38.01668
2017-01-03|20:38:56.000,32.02434,26.02805,28.91802,38.01212
2017-01-03|20:39:06.000,32.01573,26.05698,28.93178,38.01931
2017-01-03|20:39:16.000,32.00488,26.0859,28.93645,38.0265
2017-01-03|20:39:26.000,31.98875,26.11483,28.93052,38.03369
2017-01-03|20:39:36.000,31.96135,26.09168,28.91458,38.04941
2017-01-03|20:39:46.000,31.93696,26.04589,28.92348,38.06611
2017-01-03|20:39:56.000,31.91348,26.00921,28.93238,38.08281
2017-01-03|20:40:06.000,31.91236,25.99416,28.9155,38.20639
2017-01-03|20:40:16.000,31.92096,25.9791,28.91728,38.22774
2017-01-03|20:40:26.000,31.92957,25.96405,28.92962,38.20281
2017-01-03|20:40:36.000,31.9142,25.94899,28.91688,38.15105
2017-01-03|20:40:46.000,31.90065,25.93394,28.92861,38.08647
2017-01-03|20:40:56.000,31.89244,25.91888,28.91612,38.02878
2017-01-03|20:41:06.000,31.88424,25.90383,28.91153,38.00158
2017-01-03|20:41:16.000,31.87604,26.00134,28.93443,37.97969
2017-01-03|20:41:26.000,31.86784,25.98361,28.91258,37.96446
2017-01-03|20:41:36.000,31.85963,25.96588,28.91451,37.96193
2017-01-03|20:41:46.000,31.84538,25.94815,28.91644,37.97228
2017-01-03|20:41:56.000,31.8365,25.93043,28.91836,37.98264
2017-01-03|20:42:06.000,31.84831,25.9127,28.92029,37.97668
2017-01-03|20:42:16.000,31.8273,26.00718,28.92222,37.97066
2017-01-03|20:42:26.000,31.81116,25.99078,28.92414,37.96464
2017-01-03|20:42:36.000,31.82957,25.97437,28.92607,37.95862
2017-01-03|20:42:46.000,31.83717,25.95797,28.928,37.9525
2017-01-03|20:42:56.000,31.84477,25.94157,28.92992,37.94634
2017-01-03|20:43:06.000,31.85237,25.92517,28.93185,37.94017
2017-01-03|20:43:16.000,31.85843,25.90876,28.93377,37.93401
2017-01-03|20:43:26.000,31.86381,25.9982,28.9357,37.93447
2017-01-03|20:43:36.000,31.86919,25.94587,28.94112,37.94166
2017-01-03|20:43:46.000,31.87458,25.97543,28.95187,37.94885
2017-01-03|20:43:56.000,31.87996,25.99545,28.96261,37.95604
2017-01-03|20:44:06.000,31.85738,25.9751,28.95313,37.99915
2017-01-03|20:44:16.000,31.87154,25.95474,28.95975,38.07341
2017-01-03|20:44:26.000,31.85862,25.93439,28.95238,37.9318
2017-01-03|20:44:36.000,31.84719,25.91404,28.94501,37.71183
2017-01-03|20:44:46.000,31.83643,25.92027,28.93764,37.53041
2017-01-03|20:44:56.000,31.82795,25.95357,28.94214,37.41385
2017-01-03|20:45:06.000,31.82491,25.98688,28.9487,37.34699
2017-01-03|20:45:16.000,31.82188,25.9958,28.93717,37.3084
2017-01-03|20:45:26.000,31.81884,25.90421,28.95661,37.29318
2017-01-03|20:45:36.000,31.8158,25.92119,28.96047,37.27546
2017-01-03|20:45:46.000,31.81276,25.92119,28.94926,37.24128
2017-01-03|20:45:56.000,31.80973,25.97521,28.93804,37.20907
2017-01-03|20:46:06.000,31.80669,25.98551,28.95654,37.21562
2017-01-03|20:46:16.000,31.80365,25.90447,28.9459,37.22597
2017-01-03|20:46:26.000,31.81195,25.90447,28.93591,37.24926
2017-01-03|20:46:36.000,31.82318,25.91822,28.93269,37.33529
2017-01-03|20:46:46.000,31.82352,25.94231,28.92946,37.40428
2017-01-03|20:46:56.000,31.81277,25.94159,28.92623,37.4707
2017-01-03|20:47:06.000,31.82748,25.98386,28.92301,37.4859
2017-01-03|20:47:16.000,31.82839,25.90829,28.91978,37.46864
2017-01-03|20:47:26.000,31.82759,25.95608,28.91655,37.47404
2017-01-03|20:47:36.000,31.82114,26.00386,28.91333,37.4853
2017-01-03|20:47:46.000,31.81468,25.96571,28.91865,37.53363
2017-01-03|20:47:56.000,31.80823,25.95772,28.93356,37.66365
2017-01-03|20:48:06.000,31.79916,25.93835,28.92234,37.58683
2017-01-03|20:48:16.000,31.77929,25.97499,28.91111,37.45017
2017-01-03|20:48:26.000,31.78682,26.01289,28.92661,37.33113
2017-01-03|20:48:36.000,31.79758,25.99916,28.91371,37.2686
2017-01-03|20:48:46.000,31.77423,26.01055,28.93668,37.26715
2017-01-03|20:48:56.000,31.75904,25.90536,28.91072,37.28236
2017-01-03|20:49:06.000,31.72389,25.94418,28.90987,37.30501
2017-01-03|20:49:16.000,31.70668,25.95334,28.90902,37.33269
2017-01-03|20:49:26.000,31.71247,25.9518,28.90817,37.32802
2017-01-03|20:49:36.000,31.7226,25.96734,28.90732,37.31939
2017-01-03|20:49:46.000,31.71523,25.92319,28.90647,37.31077
2017-01-03|20:49:56.000,31.70785,25.97778,28.90562,37.29818
2017-01-03|20:50:06.000,31.70047,25.97592,28.90477,37.36969
2017-01-03|20:50:16.000,31.69309,26.00079,28.90392,37.4643
